id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1146162906356228096,Tue Jul 02 21:05:06 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @drpennyheaton: New high-resolution maps published in @TheLancet shine light on the global burden of #malaria. An incredible accomplishm…,New high-resolution maps published shine light global burden An incredible accomplishm…,"Sentiment(polarity=0.3590909090909091, subjectivity=0.5136363636363637)",0.3590909090909091,0.5136363636363637,en,0,4,mfw_official,,malaria,"drpennyheaton, TheLancet",,
1146158446871556096,Tue Jul 02 20:47:22 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CCK_Law: Ex-Soldier Who Killed 16 Seeks New Trial in Civilian Court, Blames #Malaria Drug. #Mefloquine #Liriam https://t.co/DJVCRHUHU6",Ex-Soldier Who Killed 16 Seeks New Trial Civilian Court Blames Drug,"Sentiment(polarity=-0.03181818181818183, subjectivity=0.22727272727272727)",-0.03181818181818183,0.22727272727272727,en,0,2,RemingtonNevin,False,"Malaria, Mefloquine, Liriam",CCK_Law,"White River Junction, VT",
1146150501517602817,Tue Jul 02 20:15:48 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PreventTyphoid: Thanks to the dedication of health workers, such as Osward from @UMCVD, @polymalawi, @umichsph &amp; @michiganstateu Blanty…",Thanks dedication health workers Osward amp Blanty…,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0,1,EmmaNedell,,,"PreventTyphoid, UMCVD, polymalawi, umichsph, michiganstateu","Washington, DC",
1146147342430720001,Tue Jul 02 20:03:15 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @seamhealth: Strengthening #HealthSecurity must start by protecting people from diseases they face today. #HIV, #TB &amp; #malaria are three…",Strengthening must start protecting people diseases face today amp three…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,imp_solutions,,"HealthSecurity, HIV, TB, malaria",seamhealth,Lagos,
1146146158747762688,Tue Jul 02 19:58:33 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NASARain: Did you know #NASA satellites are used to fight mosquito-borne diseases like #Zika &amp; #Malaria? Learn about five different @NA…,Did know satellites used fight mosquito-borne diseases like amp Learn five different …,"Sentiment(polarity=0.0, subjectivity=0.6)",0.0,0.6,en,0,6,Eunsang_UNH,,"NASA, Zika, Malaria",NASARain,"Durham, NH, USA",
1146137591684718593,Tue Jul 02 19:24:30 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PreventTyphoid: 🧬Genomic sequencing shows that misuse of antibiotics 💊 may dictate the geographic distribution of drug-resistant #typho…,🧬Genomic sequencing shows misuse antibiotics may dictate geographic distribution drug-resistant …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,Ngeno_eric,,,PreventTyphoid,Kenya,
1146135214210584578,Tue Jul 02 19:15:03 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @drpennyheaton: New high-resolution maps published in @TheLancet shine light on the global burden of #malaria. An incredible accomplishm…,New high-resolution maps published shine light global burden An incredible accomplishm…,"Sentiment(polarity=0.3590909090909091, subjectivity=0.5136363636363637)",0.3590909090909091,0.5136363636363637,en,0,4,nwnancy,,malaria,"drpennyheaton, TheLancet","Seattle, WA",
1146133133579808768,Tue Jul 02 19:06:47 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @drpennyheaton: New high-resolution maps published in @TheLancet shine light on the global burden of #malaria. An incredible accomplishm…,New high-resolution maps published shine light global burden An incredible accomplishm…,"Sentiment(polarity=0.3590909090909091, subjectivity=0.5136363636363637)",0.3590909090909091,0.5136363636363637,en,0,4,IHME_UW,,malaria,"drpennyheaton, TheLancet","Seattle, Washington",
1146125197302366209,Tue Jul 02 18:35:15 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @drpennyheaton: New high-resolution maps published in @TheLancet shine light on the global burden of #malaria. An incredible accomplishm…,New high-resolution maps published shine light global burden An incredible accomplishm…,"Sentiment(polarity=0.3590909090909091, subjectivity=0.5136363636363637)",0.3590909090909091,0.5136363636363637,en,0,4,simonihay,,malaria,"drpennyheaton, TheLancet",University of Washington,
1146111650476568582,Tue Jul 02 17:41:25 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",New high-resolution maps published in @TheLancet shine light on the global burden of #malaria. An incredible accomp… https://t.co/63Dt1bnHh4,New high-resolution maps published shine light global burden An incredible accomp…,"Sentiment(polarity=0.3590909090909091, subjectivity=0.5136363636363637)",0.3590909090909091,0.5136363636363637,en,10,4,drpennyheaton,False,malaria,TheLancet,"Cambridge, MA",
